id,bathrooms,bedrooms,price,review_scores_rating
001,1,2,70,3.56
002,1,1,102,4.75
003,1,0,75,4.51
004,1,1,96,4.73
005,1,1,88,4.79
006,1,1,52,4.56
007,1,1,47,4.82
008,2,3,213,4.96
009,1.5,0,55,4.81
010,1,1,41,4.61
011,1,1,47,4.82
012,2,4,219,4.66
013,1,1,45,4.68
014,2,2,192,4.96
015,1,1,53,4.65
016,1,1,60,4.76
017,1,1,41,4.75
018,1,2,376,4.97
019,1,1,70,4.96
020,1,2,45,4.6
021,2,5,290,4.93
022,1,2,148,4.95
023,1,1,116,4.91
024,1,1,68,4.91
025,1,1,36,4.78
026,1,1,60,4.86
027,1.5,4,582,5
028,1,1,70,4.75
029,1,1,32,4.84
030,1,1,35,4.77
031,1,1,54,4.91
032,1,1,68,4.93
033,1,1,54,4.94
034,1,1,73,4.9
035,1,1,93,4.86
036,1,1,81,4.85
037,1,1,54,5
038,1.5,2,250,4.93
039,1,1,75,4.95
040,1,1,50,4.96
041,1,1,69,4.79
042,1,0,56,4.71
043,1,1,70,5
044,1,1,90,4.64
045,1,1,59,4.94
046,1,1,47,4.74
047,1.5,1,54,4.96
048,1,2,104,5
049,1,2,86,4.75
050,1,2,124,4.75
051,1,1,50,4.98
052,1,1,114,4.8
053,1,2,92,4.8
054,1.5,1,53,4.98
055,1,2,121,4.73
056,1,1,78,4.46
057,1,2,92,4.88
058,1,1,117,4.99
059,1.5,2,97,5
060,1,2,88,4.75
061,1,1,52,4.91
062,1.5,3,102,4.79
063,1,2,91,4.83
064,1,1,122,4.94
065,1,3,248,4.91
066,1,0,99,4.97
067,1,1,108,4.99
068,1,2,146,4.85
069,1,1,142,4.95
070,1,0,70,4.69
071,1,1,85,4.74
072,1,1,108,4.61
073,1,1,108,4.78
074,1,2,117,4.66
075,1,2,152,4.99
076,1,2,93,4.91
077,1,1,96,4.58
078,1,1,79,4.9
079,1,1,92,4.97
080,1,2,122,4.43
081,2,2,112,5
082,1,1,92,4.88
083,1,3,170,4.78
084,1,1,41,4.92
085,5.5,5,445,4.95
086,1,1,93,4.69
087,1,2,95,5
088,1,1,77,4.99
089,1,1,104,4.84
090,1,1,105,4.97
091,1,2,101,4.53
092,1,1,44,4.93
093,1,1,108,4.62
094,1,1,99,4.96
095,1,1,100,4
096,1,1,99,4.81
097,1,1,89,4.76
098,1,1,86,4.37
099,1,1,100,4.88
100,1,1,90,4.63
101,1,2,100,4.9
102,1,0,75,4.92
103,1,3,148,4.95
104,1,2,106,4.8
105,2.5,5,475,4.96
106,1,2,120,4.86
107,1,1,104,4.71
108,1,1,111,4.98
109,1,1,76,4.79
110,1.5,4,205,4.94
111,1,1,98,4.89
112,2,2,135,4.66
113,1,1,82,4.75
114,1,1,95,4.93
115,1,1,94,4.9
116,2,2,139,4.98
117,2,3,158,4.98
118,1.5,2,97,4.92
119,1,1,77,4.81
120,1,1,68,3
121,1,0,92,4.69
122,1,1,118,5
123,1,1,88,4.97
124,1,1,98,4.91
125,1,2,136,5
126,1,1,133,5
127,1.5,2,133,4.44
128,3.5,4,882,5
129,1,1,98,4.6
130,1,1,1050,3.7
131,1,0,90,4.75
132,1,1,104,4.57
133,1,3,140,5
134,1.5,4,125,5
135,1.5,1,60,4.98
136,1.5,1,63,4.93
137,1,2,140,3.33
138,1,3,156,3.25
139,1,1,83,4.9
140,1,1,104,4.81
141,1,3,162,5
142,1,1,82,5
143,1,1,109,5
144,1,2,142,4.87
145,2,4,163,4.91
146,1,1,101,4.98
147,1,1,68,5
148,1,1,75,4.67
149,1,4,157,4.61
150,1,1,45,4.97
151,1,1,82,4.75
152,1,1,77,4.97
153,1,2,106,4.65
154,1,2,115,4.96
155,1,2,125,4.83
156,1,2,113,4.8
157,1,1,47,4.94
158,1,1,63,5
159,1,2,105,4.98
160,1,1,89,4.91
161,1,1,64,5
162,1.5,2,131,4.8
163,1,1,63,4.88
164,1,1,45,4.73
165,1,1,70,5
166,1,1,93,4.5
167,1,1,86,4.75
168,2,3,204,4.94
169,1.5,2,128,4.83
170,1,3,94,4.43
171,7,7,800,4.6
172,1,1,134,4.58
173,1,1,54,4.93
174,1,1,168,4.33
175,2,3,125,5
176,1,3,135,5
177,1,1,134,4.67
178,1,1,134,4.44
179,2,2,95,4.44
180,1,1,50,4.88
181,1,1,84,4.69
182,1,1,52,5
183,1,2,75,4.55
184,2,5,221,4.94
185,1,2,120,4.33
186,1,2,120,4.5
187,1,3,91,3.5
188,2,4,325,4.96
189,2,3,196,4.68
190,2,2,270,5
191,1,1,87,4.98
192,1.5,1,65,5
193,1,1,89,4.81
194,1,1,52,5
195,2,3,251,4.85
196,1,1,87,4.85
197,1,1,69,4.8
198,1,1,36,4.73
199,1.5,1,36,4.83
200,1,2,94,4.29
201,2,5,236,4.81
202,1,2,140,4.78
203,2,1,136,5
204,1,4,205,4.8
205,0,1,75,4.9
206,1,1,72,4.67
207,1,1,60,4.8
208,1,1,132,4.86
209,1,2,106,4.63
210,1,1,165,5
211,1,1,165,5
212,1,1,165,4.71
213,2,3,307,4.88
214,1,1,37,5
215,1,2,128,5
216,1,1,53,5
217,2,1,54,5
218,1,2,102,4.93
219,1,2,131,4.99
220,1,1,116,4.84
221,1,1,82,4.85
222,1.5,2,94,5
223,4,1,55,4.91
224,1,2,91,4.96
225,1,2,90,4
226,1,1,77,5
227,1.5,4,164,5
228,1,2,96,4.88
229,3.5,4,267,5
230,1,1,84,4.94
231,2,3,168,5
232,3,4,183,4.8
233,1,4,189,4.77
234,3,1,51,4.88
235,3,1,51,4.88
236,3,1,59,5
237,1,0,72,4.82
238,1.5,2,102,5
239,3,1,58,4.93
240,1,1,81,4.74
241,1,0,64,4.64
242,1,1,107,4.75
243,1,1,107,4.57
244,1,3,116,4.85
245,2,2,91,4.5
246,1,0,62,4.87
247,1,2,94,4.21
248,1,1,53,5
249,1,2,114,4.89
250,1.5,2,106,5
251,1.5,1,87,5
252,4,5,307,4.59
253,1.5,1,51,5
254,1,3,77,4.37
255,1,1,53,4.5
256,1,2,140,4.95
257,1,1,148,5
258,1,1,75,5
259,1,2,136,4.69
260,1.5,1,76,4.83
261,1,0,93,4.95
262,1,2,94,4.86
263,1,1,71,4.68
264,1,1,99,4.88
265,1,1,87,4.86
266,1,1,90,4.92
267,1,1,87,4.86
268,1,1,90,3.83
269,1,2,119,4.84
270,1,1,64,4.75
271,1.5,1,94,5
272,1,2,96,4.67
273,1,1,75,4
274,1,2,153,4.97
275,1,2,70,5
276,2.5,3,225,5
277,1,1,107,5
278,1,1,81,4.81
279,0.5,1,50,4.95
280,1,1,80,4.72
281,1,1,89,4.73
282,1.5,1,52,5
283,1,1,107,4.58
284,2,6,338,3
285,2,2,128,4.95
286,2,4,213,5
287,2,3,257,4.94
288,1,0,69,4.86
289,1,0,66,5
290,1,0,64,4.93
291,1,0,120,4.67
292,1,1,85,4.94
293,1,4,250,4.88
294,1,2,112,5
295,1,1,80,4.88
296,1,1,42,4.67
297,3,8,46,5
298,1.5,1,58,5
299,1,3,99,4.43
300,1,1,55,5
301,1,3,120,5
302,1,1,165,4.45
303,1,3,150,4.5
304,1,3,145,4.5
305,1,1,118,4.97
306,1,1,74,4.81
307,1,1,81,5
308,1,1,58,4.92
309,1,1,75,4.43
310,1,1,73,4.8
311,1,1,41,4.75
312,1,1,92,5
313,1.5,1,52,5
314,1,1,71,4.5
315,1,1,83,4.33
316,1,1,81,4.71
317,1,2,131,4.67
318,1,0,68,4.83
319,1.5,1,75,4
320,1,1,76,4.91
321,1,1,49,5
322,1,3,164,4.96
323,2.5,3,168,1
324,1.5,4,156,4.69
325,1,2,92,5
326,1,1,71,3
327,1,1,81,5
328,1,1,71,4.33
329,1,1,66,2
330,1,1,68,4.58
331,1,1,38,5
332,1,1,36,4.97
333,1,2,100,4.92
334,1,1,107,4.67
335,1.5,2,104,3.75
336,1,1,44,5
337,1,3,106,5
338,1.5,3,170,4.9
339,1,1,103,4.5
340,1,3,109,4.33
341,2,2,126,5
342,1.5,3,159,4.93
343,3,8,57,5
344,1,2,103,4.5
345,2.5,4,257,5
346,1,2,112,4
347,1,1,72,5
348,1,1,74,5
349,1,1,64,5
350,1,1,74,5
351,1,1,51,5
352,1,1,49,3.67
353,1,1,55,5
354,1,1,50,5
355,1,1,35,5
